x_in,y_in,w_in,x_out,y_out,w_out
1055.1,-861.43,225.92,267.02,328.48,-367.18
1100.9,-934.5,244.6,340.56,344.13,-422.71
1144.9,-971.46,235.33,290.24,339.91,-358.53
275.11,-403.37,-163.27,183.46,140.53,-199.69
281.25,-413.62,-150.74,187.31,147.31,-206.49
238.56,-360.93,-164.02,137.49,130.14,-172.54
276.92,-409.54,-152.89,190.84,145.91,-197.97
246.45,-374.28,-163.28,147.91,134.22,-179.73
248.89,-379.93,-144.98,142.17,136.68,-160.22
274.34,-398.11,-162.28,173.14,139.9,-190.23
260.93,-391.63,-147.59,150.92,134.4,-166.53
254.68,-386.15,-158.1,170.03,130.44,-204.85
281.85,-408.37,-157.97,164.68,154.78,-171.42
274.33,-403.38,-160.38,169.09,148.62,-190.69
259.25,-395.82,-150.12,148.68,144.13,-160.55
292.99,-406.83,167.57,103.33,132.25,-138.07
295.93,-421.11,164.36,100.03,134.59,-129.54
284.3,-412.94,169.65,95.582,135.73,-134.52
287.2,-415.88,162.57,105.24,122.04,-129.27
288.64,-409.37,169.71,119.37,128.39,-149.58
294.66,-420.2,163.97,78.817,135.83,-114.54
299.67,-403.48,170.37,68.99,138,-109.69
293.3,-413.47,165.59,101.94,135.77,-130.8
284,-410.85,162.45,91.117,139.63,-133.38
296.08,-412.75,163.6,109.33,140.29,-144.37
289.62,-415.89,168.84,111.03,142.03,-146.66
293.34,-411.31,159.61,126.56,135.47,-154.93
146.45,-278.79,795.98,-8.6557,88.559,443.79
145.83,-278.25,793.85,-12.83,93.276,388.93
147.29,-282.32,799.31,-12.948,90.391,399.94
148.24,-280.78,792.11,-22.914,93.288,407.98
147.68,-284.01,794.19,-14.353,92.436,420.32
145.95,-282.01,794.1,-33.874,91.716,389.89
144.75,-275.11,791.91,18.349,93.445,457.6
142.07,-281.86,782.55,-22.194,90.52,375.07
143.15,-283.37,794.3,-6.8614,96.496,434.83
144.51,-279.05,794.72,-64.17,92.304,364.37
147.91,-281.14,789.11,8.1735,94.832,421.14
